existing_id,school_name,school_name_reading,official_school_name,department,course,track,area,reference_year,status,capacity,special_quota_number,special_quota_percent,general_ratio,ratio_type,special_selection_available,main_eligibility,main_achievements,interview,additional_tests,summary,source_count,data_completeness,review_required
koza-f,コザ,こざ,沖縄県立コザ高等学校,普通科,,全日制,中部,令和8年度,previous_reference,360,90,25,4.5:5.5,exam_emphasis_4_5_5_5,True,3年間の評定平均が3.5以上,文化・スポーツ／資格／生徒会・社会活動／学校別実績表あり／公式表主要行確認済み・全セル要確認,実施しない,,令和8年度参考。一般選抜は4.5:5.5。特色選抜は25%以内。,10,school_detail_partial,True
koza-night-commerce,コザ,こざ,沖縄県立コザ高等学校,商業科,,定時制,中部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,中学校等を卒業見込みで、志望校・学科が示す求める生徒像と出願要件を満たす者,文化・スポーツ／資格／生徒会・社会活動／過年度実績表あり／当該年度の公式ランク表を確認できず,個人面接／15分程度,個人面接,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接・個人面接。,9,school_detail_confirmed,True
yokatsu-f,与勝,よかつ,沖縄県立与勝高等学校,普通科,,全日制,中部,令和8年度,previous_reference,160,40,25,5:5,standard_5_5,True,評定平均3.0以上／評定1がないこと／各学年の無届欠席2日以内／各学年の欠席日数19日以内,文化・スポーツ／特別活動／資格／地域・社会活動／学校別実績表あり,学校指定の面接／10点,,令和8年度参考。一般選抜は5:5。特色選抜は25%以内。 検査は面接。,7,school_detail_confirmed,True
chubusho-kokusai,中部商業,ちゅうぶしょうぎょう,沖縄県立中部商業高等学校,国際ビジネス科,,全日制,中部,令和8年度,previous_reference,40,16,40,5:5,standard_5_5,True,評定平均3.0以上／無届欠席が各学年10日以内,商業資格・検定／部活動・文化活動／特別活動・社会活動／当該年度の公式ランク表を確認できず,学校指定の面接／30点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,8,school_detail_confirmed,True
chubusho-joho,中部商業,ちゅうぶしょうぎょう,沖縄県立中部商業高等学校,情報ビジネス科,,全日制,中部,令和8年度,previous_reference,80,32,40,5:5,standard_5_5,True,評定平均3.0以上／無届欠席が各学年10日以内,商業資格・検定／部活動・文化活動／特別活動・社会活動／当該年度の公式ランク表を確認できず,学校指定の面接／30点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,8,school_detail_confirmed,True
chubusho-spo,中部商業,ちゅうぶしょうぎょう,沖縄県立中部商業高等学校,生涯スポーツ科,,全日制,中部,令和8年度,previous_reference,40,20,50,5:5,standard_5_5,True,生涯スポーツ科での学習・競技活動を継続する意思があること,商業資格・検定／部活動・文化活動／特別活動・社会活動／当該年度の公式ランク表を確認できず,学校指定の面接／30点,,令和8年度参考。一般選抜は5:5。特色選抜は50%以内。 検査は面接・実技。,8,school_detail_confirmed,True
chubusho-sogo,中部商業,ちゅうぶしょうぎょう,沖縄県立中部商業高等学校,総合ビジネス科,,全日制,中部,令和8年度,previous_reference,120,48,40,5:5,standard_5_5,True,評定平均3.0以上／無届欠席が各学年10日以内,商業資格・検定／部活動・文化活動／特別活動・社会活動／当該年度の公式ランク表を確認できず,学校指定の面接／30点,,令和8年度参考。一般選抜は5:5。特色選抜は40%以内。 検査は面接。,8,school_detail_confirmed,True
chubuno-ek,中部農林,ちゅうぶのうりん,沖縄県立中部農林高等学校,園芸科学科,,全日制,中部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,環境・資源分野の学校資料に定める評定要件を満たすこと／評定1がないこと,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,11,school_detail_confirmed,True
chubuno-nr,中部農林,ちゅうぶのうりん,沖縄県立中部農林高等学校,熱帯資源科,,全日制,中部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,農業分野の学校資料に定める評定要件を満たすこと／評定1がないこと,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,11,school_detail_confirmed,True
chubuno-fk,中部農林,ちゅうぶのうりん,沖縄県立中部農林高等学校,福祉科,,全日制,中部,令和8年度,previous_reference,40,12,30,5:5,standard_5_5,True,食品分野の学校資料に定める評定要件を満たすこと／評定1がないこと,専門分野の活動／部活動・文化活動／資格／特別活動・地域活動／学校別実績表あり,個人面接／50点,,令和8年度参考。一般選抜は5:5。特色選抜は30%以内。 検査は面接。,11,school_detail_confirmed,True
