existing_id,existing_school_name,existing_department,official_school_name,official_department,track,match_status,difference,suggested_new_id,notes
hentona-f,辺土名,普通科,辺土名,普通科,全日制,exact_match,,,令和8年度公式一覧 No.1
hentona-env,辺土名,自然環境科,辺土名,自然環境科,全日制,exact_match,,,令和8年度公式一覧 No.2
hokuzan-f,北山,普通科,北山,普通科,全日制,exact_match,,,令和8年度公式一覧 No.3
hokuzan-ri,北山,理数科,北山,理数科,全日制,exact_match,,,令和8年度公式一覧 No.4
motobu-sj,本部,進学・情報コース,本部,普通科（進学・情報）,全日制,exact_match,,,令和8年度公式一覧 No.5
motobu-sf,本部,スポーツ・保育福祉コース,本部,普通科（スポーツ・保育福祉）,全日制,exact_match,,,令和8年度公式一覧 No.6
nago-f,名護,普通科,名護,普通科,全日制,exact_match,,,令和8年度公式一覧 No.7
nago-fr,名護,フロンティア科,名護,フロンティア科,全日制,exact_match,,,令和8年度公式一覧 No.8
ginoza-f,宜野座,普通科,宜野座,普通科,全日制,exact_match,,,令和8年度公式一覧 No.9
ishikawa-f,石川,普通科,石川,普通科,全日制,exact_match,,,令和8年度公式一覧 No.10
maehara-br,前原,文理コース,前原,普通科（文理）,全日制,exact_match,,,令和8年度公式一覧 No.11
maehara-en,前原,英語コース,前原,普通科（英語）,全日制,exact_match,,,令和8年度公式一覧 No.12
maehara-sp,前原,総合スポーツコース,前原,普通科（総合スポーツ）,全日制,exact_match,,,令和8年度公式一覧 No.13
yokatsu-f,与勝,普通科,与勝,普通科,全日制,exact_match,,,令和8年度公式一覧 No.14
yomitan-f,読谷,普通科,読谷,普通科,全日制,exact_match,,,令和8年度公式一覧 No.15
kadena-dd,嘉手納,総合学科（ドリームデザイン）,嘉手納,総合学科（ドリームデザイン）,全日制,exact_match,,,令和8年度公式一覧 No.16
kadena-ca,嘉手納,総合学科（キャリアアップ）,嘉手納,総合学科（キャリアアップ）,全日制,exact_match,,,令和8年度公式一覧 No.17
gushikawa-f,具志川,普通科,具志川,普通科,全日制,exact_match,,,令和8年度公式一覧 No.18
misato-f,美里,普通科,美里,普通科,全日制,exact_match,,,令和8年度公式一覧 No.19
koza-f,コザ,普通科,コザ,普通科,全日制,exact_match,,,令和8年度公式一覧 No.20
,,,コザ,商業科,定時制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,koza-night-commerce,令和8年度公式一覧 No.21
kyuyo-bunri,球陽,文理探究科,球陽,文理探究科,全日制,exact_match,,,令和8年度公式一覧 No.22
chatan-f,北谷,普通科,北谷,普通科,全日制,exact_match,,,令和8年度公式一覧 No.23
kitanaka-f,北中城,普通科,北中城,普通科,全日制,exact_match,,,令和8年度公式一覧 No.24
futenma-f,普天間,普通科,普天間,普通科,全日制,exact_match,,,令和8年度公式一覧 No.25
ginowan-joho,宜野湾,情報処理コース,宜野湾,普通科（情報処理）,全日制,exact_match,,,令和8年度公式一覧 No.26
ginowan-spo,宜野湾,スポーツ・健康コース,宜野湾,普通科（スポーツ・健康）,全日制,exact_match,,,令和8年度公式一覧 No.27
ginowan-f,宜野湾,普通コース,宜野湾,普通科（普通）,全日制,exact_match,,,令和8年度公式一覧 No.28
nishihara-kenko,西原,健康科学コース,西原,普通科（健康科学）,全日制,exact_match,,,令和8年度公式一覧 No.29
nishihara-bunri,西原,文理コース,西原,普通科（文理）,全日制,exact_match,,,令和8年度公式一覧 No.30
urasoe-f,浦添,普通科,浦添,普通科,全日制,exact_match,,,令和8年度公式一覧 No.31
nahakok-f,那覇国際,普通科,那覇国際,普通科,全日制,exact_match,,,令和8年度公式一覧 No.32
nahakok-k,那覇国際,国際科,那覇国際,国際科,全日制,exact_match,,,令和8年度公式一覧 No.33
yomei-sogo,陽明,総合学科,陽明,総合学科,全日制,exact_match,,,令和8年度公式一覧 No.34
shuri-f,首里,普通科,首里,普通科,全日制,exact_match,,,令和8年度公式一覧 No.35
shuri-sen,首里,染織デザイン科,首里,染織デザイン科,全日制,exact_match,,,令和8年度公式一覧 No.36
shurihigashi-f,首里東,普通科,首里東,普通科,全日制,exact_match,,,令和8年度公式一覧 No.37
kaiho-g,開邦,学術探究科,開邦,学術探究科,全日制,exact_match,,,令和8年度公式一覧 No.38
kaiho-art,開邦,芸術科,開邦,芸術科（音楽）,全日制,department_difference,既存の芸術科1件を、公式の音楽・美術2コースに分割する必要がある。,kaiho-art-music,令和8年度公式一覧 No.39
kaiho-art,開邦,芸術科,開邦,芸術科（美術）,全日制,department_difference,既存の芸術科1件を、公式の音楽・美術2コースに分割する必要がある。,kaiho-art-art,令和8年度公式一覧 No.40
naha-f,那覇,普通科,那覇,普通科,全日制,exact_match,,,令和8年度公式一覧 No.41
mawashi-f,真和志,普通コース,真和志,普通科（普通）,全日制,exact_match,,,令和8年度公式一覧 No.42
mawashi-arts,真和志,クリエイティブアーツ,真和志,普通科（クリエイティブアーツ）,全日制,exact_match,,,令和8年度公式一覧 No.43
mawashi-fuku,真和志,みらい福祉,真和志,みらい福祉,全日制,exact_match,,,令和8年度公式一覧 No.44
oroku-f,小禄,普通コース,小禄,普通科（普通）,全日制,exact_match,,,令和8年度公式一覧 No.45
oroku-biz,小禄,情報ビジネスコース,小禄,普通科（情報ビジネス）,全日制,exact_match,,,令和8年度公式一覧 No.46
oroku-gei,小禄,芸術教養コース,小禄,普通科（芸術教養）,全日制,exact_match,,,令和8年度公式一覧 No.47
nahanishi-f,那覇西,普通科,那覇西,普通科,全日制,exact_match,,,令和8年度公式一覧 No.48
nahanishi-jin,那覇西,国際人文科,那覇西,国際人文科,全日制,exact_match,,,令和8年度公式一覧 No.49
nahanishi-tai,那覇西,体育科,那覇西,体育科,全日制,exact_match,,,令和8年度公式一覧 No.50
tomishiro-f,豊見城,普通コース,豊見城,普通科,全日制,exact_match,,,令和8年度公式一覧 No.51
tomiminami-f,豊見城南,普通コース,豊見城南,普通科（普通）,全日制,exact_match,,,令和8年度公式一覧 No.52
tomiminami-t,豊見城南,特進コース,豊見城南,普通科（特進）,全日制,exact_match,,,令和8年度公式一覧 No.53
haebaru-fs,南風原,普通総合,南風原,普通科（普通総合）,全日制,exact_match,,,令和8年度公式一覧 No.54
haebaru-kyodo,南風原,郷土文化コース,南風原,普通科（郷土文化）,全日制,exact_match,,,令和8年度公式一覧 No.55
haebaru-biz,南風原,教養ビジネスコース,南風原,普通科（教養ビジネス）,全日制,exact_match,,,令和8年度公式一覧 No.56
koyo-f,向陽,普通科,向陽,普通科,全日制,exact_match,,,令和8年度公式一覧 No.57
koyo-ri,向陽,理数科,向陽,理数科,全日制,exact_match,,,令和8年度公式一覧 No.58
koyo-kb,向陽,国際文科,向陽,国際文科,全日制,exact_match,,,令和8年度公式一覧 No.59
chinen-f,知念,普通科,知念,普通科,全日制,exact_match,,,令和8年度公式一覧 No.60
itoman-f,糸満,普通科,糸満,普通科,全日制,exact_match,,,令和8年度公式一覧 No.61
kumejima-f,久米島,普通科,久米島,普通科,全日制,exact_match,,,令和8年度公式一覧 No.62
kumejima-en,久米島,園芸科,久米島,園芸科,全日制,exact_match,,,令和8年度公式一覧 No.63
miyako-f,宮古,普通科,宮古,普通科,全日制,exact_match,,,令和8年度公式一覧 No.64
miyako-br,宮古,文理探究科,宮古,文理探究科,全日制,exact_match,,,令和8年度公式一覧 No.65
yaeyama-f,八重山,普通科,八重山,普通科,全日制,exact_match,,,令和8年度公式一覧 No.66
,,,北部農林,アグリテクノ科,全日制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,hokuno-agritech,令和8年度公式一覧 No.67
,,,北部農林,地域資源デザイン科,全日制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,hokuno-resource-design,令和8年度公式一覧 No.68
,,,北部農林,食品クリエイト科,全日制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,hokuno-food-create,令和8年度公式一覧 No.69
,,,北部農林,ライフ創造科,全日制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,hokuno-life-create,令和8年度公式一覧 No.70
,,,北部農林,農業科,定時制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,hokuno-night-agri,令和8年度公式一覧 No.71
chubuno-nr,中部農林,熱帯資源科,中部農林,熱帯資源科,全日制,exact_match,,,令和8年度公式一覧 No.72
chubuno-ek,中部農林,園芸科学科,中部農林,園芸科学科,全日制,exact_match,,,令和8年度公式一覧 No.73
chubuno-sk,中部農林,食品科学科,中部農林,食品科学科,全日制,exact_match,,,令和8年度公式一覧 No.74
chubuno-zo,中部農林,造園科,中部農林,造園科,全日制,exact_match,,,令和8年度公式一覧 No.75
chubuno-fk,中部農林,福祉科,中部農林,福祉科,全日制,exact_match,,,令和8年度公式一覧 No.76
,,,中部農林,農業科,定時制,missing_in_index,公式一覧にはあるが既存index.htmlに対応IDがない。,chubuno-night-agri,令和8年度公式一覧 No.77
nanbuno-ss,南部農林,食料生産科,南部農林,食料生産科,全日制,exact_match,,,令和8年度公式一覧 No.78
nanbuno-sb,南部農林,生物資源科,南部農林,生物資源科,全日制,exact_match,,,令和8年度公式一覧 No.79
