source_id,school_name,department,title,target_year,source_type,official_page_url,direct_file_url,file_format,pdf_viewer_page,printed_page,heading,summary,publication_date,last_checked,link_status,notes
chinen-r8-rank,知念,普通科,令和8年度特色選抜 活動実績ランク基準表,令和8年度,特色選抜実績ランク表,https://www.chinen-h.open.ed.jp/nyushijyoho.html,https://www.chinen-h.open.ed.jp/nyushi_26_tokushokurank.pdf,PDF,1-2,1-2,活動実績ランク基準表 その1・その2,文化、スポーツ、社会、生徒会、ボランティア、資格をA～Eで区分。,,2026-07-07,confirmed,
chubuno-night-r8-detail,中部農林,定時制農業科,令和8年度定時制特色選抜 求める生徒像・選抜方法,令和8年度,定時制特色選抜方法,https://www.teiji.chubu-ah.open.ed.jp/,https://www.teiji.chubu-ah.open.ed.jp/e0f7373d80581c29c30e7d83a9168e9bed8fc3f2.pdf,PDF,1,1,575点配点、評定1なし、個人面接50点,学力250点、調査書275点、個人面接50点。3年間に評定1がある者は対象外。,,2026-07-07,confirmed_official_file,
chubuno-r8-detail,中部農林,全日制5学科,令和8年度特色選抜 求める生徒像・選抜方法,令和8年度,特色選抜方法,https://sites.google.com/open.ed.jp/chunonyushi/,https://drive.google.com/file/d/1Ef14XF_oYSvk-huUOc42MCey1lK3sU0G/view?usp=drive_link,PDF (Google Drive),1,1,学科別評定要件、575点配点、個人面接,全5学科共通575点。学科別評定平均、評定1なし、個人面接50点。,,2026-07-07,confirmed_official_drive_file,
chubuno-r8-main,中部農林,全日制5学科,令和8年度入学者選抜募集要項,令和8年度,学校募集要項,https://sites.google.com/open.ed.jp/chunonyushi/,https://drive.google.com/file/d/1uNyiinwa3d5ko5WK6oCSoA6ovN1vaaSQ/view?usp=drive_link,PDF (Google Drive),資料内,資料内,入学者募集要項,中部農林全日制の募集要項。,,2026-07-07,confirmed_official_drive_file,
chubuno-r8-portal,中部農林,全日制5学科,令和8年度入学者選抜資料公式ポータル,令和8年度,学校公式入試情報ページ,https://sites.google.com/open.ed.jp/chunonyushi/,,HTML,,,募集要項、特色選抜詳細、ランク表,学校公式Google Sitesから令和8年度の3資料へリンク。,,2026-07-07,confirmed_official_page,
chubuno-r8-rank,中部農林,全日制5学科,令和8年度 特別活動・部活動・資格取得等ランク表,令和8年度,実績ランク表,https://sites.google.com/open.ed.jp/chunonyushi/,https://drive.google.com/file/d/1fqQKDwBu_bT8bFO-uCZokGfRgx8GVccH/view?usp=drive_link,PDF (Google Drive),1,1,A-Eランク,生徒会、文化、スポーツ、社会、ボランティア、資格のA-Eランク。,,2026-07-07,confirmed_official_drive_file,
gushikawa-r8-interview,具志川,普通科,令和8年度特色選抜受検生への面接案内,令和8年度,特色選抜受検案内,https://www.gushikawa-h.open.ed.jp/entrance%20exam2025/R7_2Ent-exam.html,https://www.gushikawa-h.open.ed.jp/entrance%20exam2025/R8_info/tokusyokujuukensei_info.pdf,PDF,1,1,特色選抜面接,特色選抜面接の集合・実施案内。,,2026-07-07,confirmed_official_file,
gushikawa-r8-rank,具志川,普通科,令和8年度特色選抜実績のランク一覧表,令和8年度,実績ランク表,https://www.gushikawa-h.open.ed.jp/entrance%20exam2025/R7_2Ent-exam.html,https://www.gushikawa-h.open.ed.jp/entrance%20exam2025/R8_info/R8_entrance%20exam/3_admission%20ranking%20chart.pdf,PDF,1,1,スポーツ・文化・資格・校内活動・社会活動,学校独自の実績ランク表。数学検定の一次または二次のみ合格は一段階下として扱う。,,2026-07-07,confirmed_official_file,
ishikawa-r8-ranks-source,石川,普通科,令和8年度合否判定基準・内申実績ランク表,令和8年度,合否判定基準・特色選抜実績ランク表,https://www.ishikawa-h.open.ed.jp/nyuusiR8.html,https://www.ishikawa-h.open.ed.jp/nyuusi_gouhikijyun_r8.pdf,PDF,1-2,1-2,特色選抜合否判定基準／県立石川高校内申実績ランク表,565点構成と、校内外活動・部活動・資格のA～D点数表。,,2026-07-07,confirmed,
itoman-r8-general,糸満,普通科,令和8年度一般選抜入試基準,令和8年度,一般選抜方法,https://www.itoman-h.open.ed.jp/post-3.html,https://www.itoman-h.open.ed.jp/05_%E4%BB%A4%E5%92%8C8%E5%B9%B4%E5%BA%A6_%E4%B8%80%E8%88%AC%E5%85%A5%E8%A9%A6%E9%81%B8%E6%8A%9C%E6%96%B9%E6%B3%95.pdf,PDF,1,1,一般選抜5:5、面接全員、特色面接済みは免除,一般選抜は5:5、独自検査・傾斜配点なし。面接は全員だが特色選抜で受検済みの者は免除。,,2026-07-07,confirmed_official_file,
