existing_id,school_name,department,item,status,reason,searched_sources,recommended_next_action
koza-night-commerce,コザ,商業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
koza-night-commerce,コザ,商業科,実績ランク詳細,needs_review,公式PDFのURL・資料名・主要本文は確認済みだが、学校サーバーが継続して502エラーを返すため、表の全セルを直接再確認できない。確認できた配点・資格級・主要ランクは収録済みで、未確認部分は推測していない。,koza-night-r8-selection / koza-night-r7-rank,学校サーバー復旧後に公式PDFを再取得し、現在のpartial行と全セルを照合する。
koza-f,コザ,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
koza-f,コザ,普通科,実績ランク詳細,needs_review,公式PDFのURL・資料名・主要本文は確認済みだが、学校サーバーが継続して502エラーを返すため、表の全セルを直接再確認できない。確認できた配点・資格級・主要ランクは収録済みで、未確認部分は推測していない。,koza-r8-rank-table / koza-r8-selection-method / koza-r8-decision-standard,学校サーバー復旧後に公式PDFを再取得し、現在のpartial行と全セルを照合する。
yokatsu-f,与勝,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubusho-kokusai,中部商業,国際ビジネス科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubusho-kokusai,中部商業,国際ビジネス科,実績ランク詳細,not_found,学校公式の募集要項・特色選抜方法・合否判定基準を確認したが、活動・資格を級別・大会別に並べた独立ランク表を特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-53-criteria-detail / school-53-main / school-53-page,令和9年度の学校別資料公開時に、別紙の評価基準・ランク表が追加されていないか再確認する。
chubusho-joho,中部商業,情報ビジネス科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
chubusho-joho,中部商業,情報ビジネス科,実績ランク詳細,not_found,学校公式の募集要項・特色選抜方法・合否判定基準を確認したが、活動・資格を級別・大会別に並べた独立ランク表を特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-53-criteria-detail / school-53-main / school-53-page,令和9年度の学校別資料公開時に、別紙の評価基準・ランク表が追加されていないか再確認する。
chubusho-spo,中部商業,生涯スポーツ科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
